Date,Close
2022-04-06,80.800003
2022-04-07,80.25
2022-04-08,79.629997
2022-04-11,78.919998
2022-04-12,79.160004
2022-04-13,77.860001
2022-04-18,77.589996
2022-04-19,76.199997
2022-04-20,76.480003
2022-04-21,76.040001
2022-04-22,75.699997
2022-04-25,76.650002
2022-04-26,76.32
2022-04-27,74.089996
2022-04-28,73.339996
2022-04-29,72.160004
2022-05-02,73.720001
2022-05-03,71.260002
2022-05-04,72.5
2022-05-05,71.209999
2022-05-06,69.639999
2022-05-09,69.480003
2022-05-10,72
2022-05-11,73.910004
2022-05-12,73.720001
2022-05-13,74.220001
2022-05-16,76.720001
2022-05-17,77.239998
2022-05-18,75.650002
2022-05-19,74.849998
2022-05-20,73.699997
2022-05-23,72.449997
2022-05-24,71.220001
2022-05-25,71.610001
2022-05-26,72.559998
2022-05-27,73.339996
2022-05-30,71.620003
2022-05-31,72.769997
2022-06-01,73.599998
2022-06-02,71.300003
2022-06-03,71.190002
2022-06-06,69.269997
2022-06-07,68.5
2022-06-08,69.349998
2022-06-09,68.599998
2022-06-10,67.629997
2022-06-13,67.620003
2022-06-14,66.639999
2022-06-15,69.040001
2022-06-16,68.68
2022-06-17,68.830002
2022-06-20,68.059998
2022-06-21,68.639999
2022-06-22,66.389999
2022-06-23,66.129997
2022-06-24,66.599998
2022-06-27,67.93
2022-06-28,69.660004
2022-06-29,69.660004
2022-06-30,69.330002
2022-07-01,70.230003
2022-07-04,69.790001
2022-07-05,69.660004
2022-07-06,68.839996
2022-07-07,68.900002
2022-07-08,68.559998
2022-07-11,69.059998
2022-07-12,70.360001
2022-07-13,72.93
2022-07-14,71.300003
2022-07-15,72.720001
2022-07-18,71.690002
2022-07-19,70.93
2022-07-20,71.290001
2022-07-21,72.599998
2022-07-22,73.279999
2022-07-25,71.860001
2022-07-26,70.760002
2022-07-27,71.459999
2022-07-28,73.599998
2022-07-29,73.839996
2022-08-01,71.769997
2022-08-02,70.099998
2022-08-03,70.839996
2022-08-04,69.760002
2022-08-05,69.93
2022-08-08,71.040001
2022-08-09,71.169998
2022-08-10,71.5
2022-08-11,71.730003
2022-08-12,71.779999
2022-08-15,71.57
2022-08-16,71.959999
2022-08-17,72.809998
2022-08-18,72.870003
2022-08-19,71.419998
2022-08-22,70.089996
2022-08-23,71.010002
2022-08-24,69.529999
2022-08-25,69.669998
2022-08-26,68.690002
2022-08-29,68.540001
2022-08-30,67.410004
2022-08-31,65.839996
2022-09-01,69.699997
2022-09-02,69.360001
2022-09-05,70.480003
2022-09-06,70.57
2022-09-07,70.93
2022-09-08,73.139999
2022-09-09,74.019997
2022-09-12,75.019997
2022-09-13,74.07
2022-09-14,73.059998
2022-09-15,73.160004
2022-09-19,73.370003
2022-09-20,76.099998
2022-09-21,76.18
2022-09-22,74.730003
2022-09-23,73.32
2022-09-26,72.5
2022-09-27,72.650002
2022-09-28,72.400002
2022-09-29,72.980003
2022-09-30,70.730003
2022-10-03,71.449997
2022-10-04,71.800003
2022-10-05,72.620003
2022-10-06,73.269997
2022-10-07,72
2022-10-10,72.739998
2022-10-11,73.489998
2022-10-12,73.510002
2022-10-13,72.650002
2022-10-14,71.599998
2022-10-17,71.040001
2022-10-18,71.5
2022-10-19,71.18
2022-10-20,73.07
2022-10-21,74.75
2022-10-24,74.809998
2022-10-25,75.480003
2022-10-26,76.739998
2022-10-27,75.910004
2022-10-28,75.339996
2022-10-31,76.540001
2022-11-01,78.720001
2022-11-03,77.580002
2022-11-04,76.779999
2022-11-07,75.870003
2022-11-08,75.550003
2022-11-09,73.900002
2022-11-10,73.400002
2022-11-11,72.690002
2022-11-14,72.120003
2022-11-15,71.82
2022-11-16,72.970001
2022-11-17,71.900002
2022-11-18,71.25
2022-11-22,74.580002
2022-11-23,75.230003
2022-11-24,74.800003
2022-11-25,74.32
2022-11-28,75.199997
2022-11-29,72.379997
